Animal Name,Exposure Endpoint Type,Endpoint Value,Endpoint Description,Range,Units,Error,Sex,Life Cycle Stage,Location,Sample Size,Type
Falco sparverius,Population Density,50,,,,,Both Male and Female,Adult,"agricultural lands, woodlots, meadows",1 study area,Exposure Factor Datasets
Falco sparverius,Fledging or Weaning Rate,5.0,three year mean fledging rate,3.5-5.46,,,Both Male and Female,Fledgling,rural and urban lands,28 pairs,Exposure Factor Datasets
Falco sparverius,Clutch or Litter Size,5.1,mean clutch size over 3 years,4.8-5.2,,,Female,Adult,rural and urban lands,28 pairs,Exposure Factor Datasets
Falco sparverius,Population Density,0.06,mean pair density in study area (194 km2),0.05-0.13,,,Both Male and Female,Adult,rural and urban lands,5 years,Exposure Factor Datasets
Falco sparverius,Population Density,0.22,mean density in study area,,,,Both Male and Female,Both Adults and Juveniles,rural and urban lands,5 years,Exposure Factor Datasets
Falco sparverius,Fledging or Weaning Rate,2.2,fledging rate per successful nest,,,,Both Male and Female,Fledgling,"American River; oak woodlands, grasslands, residential",17,Exposure Factor Datasets
Falco sparverius,Hatching Success,79,mean hatchability measured over 4 years,70-83,,,Both Male and Female,Hatchling,Great Basin (elev. 1260-2340 m),157 boxes,Exposure Factor Datasets
Falco sparverius,Duration of Incubation or Gestation,28.4,mean incubation period in captivity,27-33,,,Both Male and Female,Embryo,,5,Exposure Factor Datasets
Falco sparverius,Clutch or Litter Size,3.66,mean clutch size in captivity,3-4,,,Female,Adult,,5,Exposure Factor Datasets
Falco sparverius,Surface Area,7.15 x 10E-3,dorsal surface area,,,,Not Reported,Adult,,Not Reported,Exposure Factor Datasets
Falco sparverius,Surface Area,7.15 x 10E-3,ventral surface area,,,,Not Reported,Adult,,Not Reported,Exposure Factor Datasets
Peromyscus maniculatus,Body Weight - Mean,3.2,,2.4-3.9,,0.06,,"Adult, Neonate","Blue Lake, 
75 long., 95 lat.",47,Exposure Factor Datasets
Peromyscus maniculatus,Population Density,17,minimum density,,,8 SD,Both Male and Female,Both Adults and Juveniles,"Coreopsis habitat, Santa Barbara Island [lat.,33^o29' N, long., 119^o02' W]",Not Reported,Exposure Factor Datasets
Peromyscus maniculatus,Population Density,5,minimum density,,,,Both Male and Female,Both Adults and Juveniles,"Suaeda habitat, Santa Barbara Island [lat.,33^o29' N, long., 119^o02' W]",Not Reported,Exposure Factor Datasets
Peromyscus maniculatus,Population Density,2,Minimum density,,,,Both Male and Female,Both Adults and Juveniles,"grassland habitat, Santa Barbara Island [lat.,33^o29' N, long., 119^o02' W]",Not Reported,Exposure Factor Datasets
Peromyscus maniculatus,Body Weight - Mean,17.6,,,,2.91 SD,Both Male and Female,Adult,"White Mountain Research Station (elev., 3800 m)",20,Exposure Factor Datasets
Peromyscus maniculatus ssp. sonoriensis,Clutch or Litter Size,5.06,potential litter size estimated using the larger of corpora lutea count or embryo sites,,,0.16 SE,Female,Adult,"White Mountain (elev., 9,800 ft)",72,Exposure Factor Datasets
Peromyscus maniculatus ssp. sonoriensis,Clutch or Litter Size,4.73,potential litter size estimated using the larger of corpora lutea count or embryo sites,,,0.67 SE,Female,Adult,"White Mountain (elev., 7,000 ft)",30,Exposure Factor Datasets
Peromyscus maniculatus ssp. sonoriensis,Clutch or Litter Size,4.00,potential litter size estimated using the larger of corpora lutea count or embryo sites,,,1.00 SE,Female,Adult,"White Mountain (elev., 4,500 ft)",2,Exposure Factor Datasets
Peromyscus maniculatus ssp. nebrascensis,Body Weight - Mean,2.1,,,,0.1 SE,Male,Neonate,captured in Nebraska,33,Exposure Factor Datasets
Anas platyrhynchos,Food Ingestion Rate,70,mean daily ingestion of barley at 15 C,,,,Male,Juvenile,,16,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,61,average survival rate of birds banded 1948-1982,,,,Male,Adult,"Sacramento and San Joaquin Valleys, n.e. CA",Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,56,average survival rate of birds banded 1948-1982,,,,Female,Adult,"Sacramento and San Joaquin Valleys, n.e. CA",Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,47,average survival rate of birds banded 1948-1982,,,,Male,Juvenile,"Sacramento and San Joaquin Valleys, n.e. CA",Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,46,average survival rate of birds banded 1948-1982,,,,Female,Juvenile,"Sacramento and San Joaquin Valleys, n.e. CA",Not Reported,Exposure Factor Datasets
Lithobates catesbeianus,Water Ingestion Rate,0.18,"""drinking"" measured as 125I-iothalamate uptake in gut after 2 hrs",,,0.02 SE,Not Reported,Tadpole,,8,Exposure Factor Datasets
Lithobates catesbeianus,Population Density,9.1,mean density measured on both banks of river,,,,Not Reported,Adult,lower Colorado River between Laguna and Morelos Dams,3 visual counts,Exposure Factor Datasets
Lithobates catesbeianus,Dietary Composition,"crayfish (24%), wolf spiders (36%), long horned earwigs (20%), sowbugs (25%), german cockroaches (14%), crickets (16%), vascular plants (36%), inorganic material (12%), other animals (10%)",% frequency of occurence in stomach contents,,,,Not Reported,Adult,lower Colorado River between Laguna and Morelos Dams,100,Exposure Factor Datasets
Lithobates catesbeianus,Home Range,8.6,mean activity radius; median = 7.2 ft; mode = 5.0-5.9 ft,2.0 - 37.1,,,Both Male and Female,Adult,"pond at Go Home Bay, Ontario [lat.,45N; long., 79^o59'W]",131,Exposure Factor Datasets
Lithobates catesbeianus,Growth Rate,0.4,measured at 25C; Taylor-Kollros stages,,,,Not Reported,Tadpole,,11-14,Exposure Factor Datasets
Lithobates catesbeianus,Growth Rate,0.02,measured at 25C; Taylor-Kollros stages,,,,Not Reported,Tadpole,,11-14,Exposure Factor Datasets
Lithobates catesbeianus,Time of Mating/ Laying,May - June,,,,,Female,Adult,"Ridge Lake, Charleston, Coles County",Not Reported,Exposure Factor Datasets
Lithobates catesbeianus,Body Weight - Mean,0.02,at metamorphosis,,,,Not Reported,,"Ridge Lake, Charleston, Coles County",48,Exposure Factor Datasets
Lithobates catesbeianus,Body Weight - Mean,,,0.01 - 0.10,,,Not Reported,,"Ridge Lake, Charleston, Coles County",5-13,Exposure Factor Datasets
Lithobates catesbeianus,Body Weight - Mean,0.46,,0.33 - 0.56,,,Not Reported,,"Ridge Lake, Charleston, Coles County",5,Exposure Factor Datasets
Lithobates catesbeianus,Body Weight - Mean,0.52,,0.46 - 0.57,,,Not Reported,,"Ridge Lake, Charleston, Coles County",5,Exposure Factor Datasets
Lithobates catesbeianus,Body Weight - Mean,0.58,,0.53 - 0.62,,,Not Reported,,"Ridge Lake, Charleston, Coles County",3,Exposure Factor Datasets
Lithobates catesbeianus,Body Weight - Mean,0.64,,0.55 - 0.76,,,Not Reported,,"Ridge Lake, Charleston, Coles County",6,Exposure Factor Datasets
Lithobates catesbeianus,Body Weight - Mean,0.80,,0.68 - 0.91,,,Not Reported,,"Ridge Lake, Charleston, Coles County",5,Exposure Factor Datasets
Lithobates catesbeianus,"Age at Fledging, Metamorphosis, Weaning",,,24 - 27,,,Not Reported,Tadpole,"Ridge Lake, Charleston, Coles County",Not Reported,Exposure Factor Datasets
Lithobates catesbeianus,Time of Torpor or Hibernation,Oct. - April,,,,,Not Reported,Adult,"Seiberling Naturealm, Summit County",6,Exposure Factor Datasets
Lithobates catesbeianus,Surface Area,Log SA = 0.923 + (0.711Log BW),SA = Total Surface Area in cm2; BW = body weight in grams wet weight; Log base 10; surface area estimated from removed skin of frogs ranging from 40 - 442 g,,,,Not Reported,Adult,,16,Exposure Factor Datasets
Lithobates catesbeianus,Population Density,,,8.3 - 12.8,,,Both Male and Female,Adult,"pond at Go Home Bay, Ontario [lat.,45N; long., 79^o59'W]",131,Exposure Factor Datasets
Lithobates catesbeianus,Longevity,,,7-8,,,Not Reported,Adult,,Not Reported,Exposure Factor Datasets
Peromyscus maniculatus,Clutch or Litter Size,5.27,mean litter size based upon number of visible embryos,,,0.13,Female,Adult,"Gunnison County and Saquache County, (elev., 8500 - 9300 ft.)",77,Exposure Factor Datasets
Anas platyrhynchos,Growth Rate,1.81%/d,maximum growth rate relative to asymptotic weight,,,,Male,Juvenile,,48,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"gastropoda (0.001), crustacea (0.007), insecta (0.003), and plant (0.980)",mean relative proportions (wet mass) of stomach contents,,,,Both Male and Female,Not Reported,St. Lawrence River,22,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.998,spring-summer survival (proportion),,,,Male,Adult,"Alberta, Saskatchewan, Manitoba","18,650",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.603,spring-summer survival (proportion),,,,Female,Adult,"Alberta, Saskatchewan, Manitoba","16,562",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.782,fall-winter survival (proportion),,,,Male,Adult,"Alberta, Saskatchewan, Manitoba","18,650",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.961,fall-winter survival (proportion),,,,Female,Adult,"Alberta, Saskatchewan, Manitoba","16,562",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.574,spring-summer survival (proportion),,,0.053 SE,Female,Adult,"Alberta, Saskatchewan, Manitoba","11,139",Exposure Factor Datasets
Sceloporus occidentalis ssp. occidentalis,Home Range,73.10,home range reported as minimum area probability (0.95 level); minimum area which will contain a given proportion (95%) of the total observations of the average individual,,,,Male,Adult,"Hastings Natural History Reservation, Carmel Valley",14 animals,Exposure Factor Datasets
Sceloporus occidentalis ssp. occidentalis,Home Range,61.20,home range reported as minimum area probability (0.95 level); minimum area which will contain a given proportion (95%) of the total observations of the average individual,,,,Female,Adult,"Hastings Natural History Reservation, Carmel Valley",10 animals,Exposure Factor Datasets
Sceloporus occidentalis ssp. occidentalis,Time of Hatching or Parturition,July - Sept.,time when hatchlings appeared at study site,,,,Not Reported,Hatchling,"Hastings Reservation, Carmel Valley (elev., 550m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. occidentalis,Time of Mating/ Laying,May - July,"time of laying, estimated from assumed incubation period of 60d",,,,Female,Adult,"Hastings Reservation, Carmel Valley (elev., 550m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. occidentalis,Time of Mating/ Laying,Apr. - June,"time of mating, based on observations of copulation and courtship behavior",,,,Both Male and Female,Adult,"Hastings Reservation, Carmel Valley (elev., 550m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis,Time of Torpor or Hibernation,Nov-Dec. (begin),,,,,Not Reported,Both Adults and Juveniles,"Hastings Reservation, Carmel Valley",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis,Age at Sexual Maturity,22-23,,,,,Both Male and Female,Adult,"Hastings Reservation, Carmel Valley",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis,Time of Hatching or Parturition,July - Sept.,,,,,Not Reported,Hatchling,"Strawberry Canyon, Berkeley Hills",93,Exposure Factor Datasets
Sceloporus occidentalis,Time of Torpor or Hibernation,Nov. - Mar.,,,,,Not Reported,Both Adults and Juveniles,"Strawberry Canyon, Berkeley Hills",93,Exposure Factor Datasets
Sceloporus occidentalis,Clutch or Litter Size,13.7,estimated by number of developing ova,9-18,,,Female,Adult,"Strawberry Canyon, Berkeley Hills",7,Exposure Factor Datasets
Sceloporus occidentalis,Longevity,6,oldest tagged individual,,,,Not Reported,Adult,"Strawberry Canyon, Berkeley Hills",93,Exposure Factor Datasets
Sceloporus occidentalis,Clutches or Litters per year,1,,,,,Female,Adult,"Strawberry Canyon, Berkeley Hills",93,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Clutch or Litter Size,7.23,,,,3.30SD,Female,Adult,"Puente Hills, Whittier (elev., 150 m)",43,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Clutch or Litter Size,8.70,,,,2.0 SD,Female,Adult,"San Gabriel Mountains, Crystal Lake (elev., 1584 m)",41,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Time of Hatching or Parturition,July,,,,,Not Reported,Hatchling,"Puente Hills, Whittier (elev., 150 m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Time of Hatching or Parturition,Aug.,,,,,Not Reported,Hatchling,"San Gabriel Mountains, Crystal Lake (elev., 1584 m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Body Weight - Mean,15.3,average snout-vent length = 75mm,,,,Not Reported,Adult,"San Gabriel Mountains, Crystal Lake (elev., 1584 m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Body Weight - Mean,11.1,average snout-vent length = 67mm,,,,Not Reported,Adult,"Puente Hills, Whittier (elev., 150 m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Time of Torpor or Hibernation,Nov.-Feb.,,,,,Not Reported,Adult,"Puente Hills, Whittier (elev., 150 m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Time of Torpor or Hibernation,Nov. - Mar.,,,,,Not Reported,Adult,"San Gabriel Mountains, Crystal Lake (elev., 1584 m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Clutches or Litters per year,1-3,,,,,Female,Adult,"Puente Hills,  Whittier (elev., 150 m)",Not Reported,Exposure Factor Datasets
Sceloporus occidentalis ssp. biseriatus,Clutches or Litters per year,1-2,,,,,Female,Adult,"San Gabriel Mountains, Crystal Lake (elev., 1584 m)",Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.728,spring-summer survival (proportion),,,0.079 (SE),Female,Yearling,"Alberta, Saskatchewan, Manitoba","1,246",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.915,summer to spring survival (proportion),,,0.090 (SE),Female,Adult,"Alberta, Saskatchewan, Manitoba","11,139",Exposure Factor Datasets
Anas platyrhynchos,Food Ingestion Rate,574.7-1182.8 g/wk,range of mean food consumption over the breeding period,,,,Both Male and Female,Adult,,90,Exposure Factor Datasets
Anas platyrhynchos,Hatching Success,43.9%,nest success rate (Mayfield method) among overwater nests,,,,Female,Adult,"Minnedosa, Manitoba",47,Exposure Factor Datasets
Anas platyrhynchos,Hatching Success,12.2%,nest success rate (Mayfield method) among upland nests,,,,Female,Adult,"Minnedosa, Manitoba",49,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"plant (82.9-98.4%), and invertebrates (1.6-17.1%)",ranges of mean aggregate percent dry mass (stomach contents of ducks from different habitats),,,,Female,Both Adults and Juveniles,Squaw Creek National Wildlife Refuge,123,Exposure Factor Datasets
Anas platyrhynchos,Time of Molt,July 21-27,mean annual date of molt initiation (over 3 yr),,,,Male,Adult,,126,Exposure Factor Datasets
Anas platyrhynchos,Time of Molt,July 30-August 10,mean annual date of molt initiation (over 3 yr),,,,Female,Adult,,131,Exposure Factor Datasets
Anas platyrhynchos,Population Density,"314,712",mean number of ducks counted in U.S. Fish and Wildlife Service mid-winter inventories 1978-1987,,,,Both Male and Female,Both Adults and Juveniles,Sacramento Valley,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Population Density,"30,438",mean number of ducks counted in U.S. Fish and Wildlife Service mid-winter inventories 1978-1987,,,,Both Male and Female,Both Adults and Juveniles,San Joaquin Valley,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Population Density,"15,221",mean number of ducks counted in U.S. Fish and Wildlife Service mid-winter inventories 1978-1987,,,,Both Male and Female,Both Adults and Juveniles,Suisun Marsh,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Population Density,"4,667",mean number of ducks counted in U.S. Fish and Wildlife Service mid-winter inventories 1978-1987,,,,Both Male and Female,Both Adults and Juveniles,San Francisco Delta,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Population Density,389,mean number of ducks counted in U.S. Fish and Wildlife Service mid-winter inventories 1978-1987,,,,Both Male and Female,Both Adults and Juveniles,Imperial and Coachella Valleys,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Hatching Success,85.2%,proportion of observed nests with at least one successful hatch,,,,Female,Adult,Tule Lake and Lower Klamath River National Wildlife Refuges,209,Exposure Factor Datasets
Anas platyrhynchos,Time of Nesting,April-September,period between first observed nest to last observed hatches,,,,Female,Adult,Tule Lake and Lower Klamath River National Wildlife Refuges,209,Exposure Factor Datasets
Anas platyrhynchos,Clutch or Litter Size,8.9,mean clutch size of successful nests,,,,Female,Adult,Tule Lake and Lower Klamath River National Wildlife Refuges,178,Exposure Factor Datasets
Anas platyrhynchos,Hatching Success,91.4%,Mean hatch success of successful nests,,,,Female,Adult,Tule Lake and Lower Klamath River National Wildlife Refuges,178,Exposure Factor Datasets
Anas platyrhynchos,Time of Hatching or Parturition,May-July,,,,,Female,Adult,Tule Lake and Lower Klamath River National Wildlife Refuges,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Time of Migration or Dispersal,May 22 to July 10,timing of departure from breeding grounds,,,,Female,Adult,"Suisun Marsh, Grizzly Island",34,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"total plant seeds (19.3%), total grain (5.7%), acorns (64.5%), total vegetation (0.9%), tubers/rhizomes (5.1%), invertebrates (4.6%)",mean aggregate % dry mass of foods collected in mallard stomachs (one season),,,,Male,Both Adults and Juveniles,Mingo National Wildlife Refuge,104,Exposure Factor Datasets
Anas platyrhynchos,Metabolic Rate,y = 1.970 - 0.054x (r-squared = 0.932),metabolic rate (ml O^2/g/h)-ambient temperature (celcius) relationship,,,,Male,Juvenile,,20,Exposure Factor Datasets
Anas platyrhynchos,Metabolic Rate,y = 1.780 - 0.052x (r-squared = 0.882),metabolic rate (ml O^2/g/h)-ambient temperature (celcius) relationship,,,,Female,Juvenile,,20,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.377,estimated annual survival rate (1960-1971),,,0.046 (SE),Male,Juvenile,Malheur National Wildlife Refuge,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.628,estimated annual survival rate (1960-1971),,,0.035 (SE),Male,Adult,Malheur National Wildlife Refuge,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.569,estimated annual survival rate (1960-1971),,,0.105 (SE),Female,Juvenile,Malheur National Wildlife Refuge,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.586,estimated annual survival rate (1960-1971),,,0.081 (SE),Female,Adult,Malheur National Wildlife Refuge,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Clutch or Litter Size,10.4,mean clutch size from first nesting attempt,,,0.2 (SE),Female,Adult,,151,Exposure Factor Datasets
Anas platyrhynchos,Time of Nesting,April-June,date of nest initiation,,,,Female,Adult,,151,Exposure Factor Datasets
Anas platyrhynchos,Clutch or Litter Size,9.3,,,,1.3 (SD),Female,Adult,Adirondack Mountains,18,Exposure Factor Datasets
Anas platyrhynchos,Duration of Incubation or Gestation,28,,,,,Female,Adult,Adirondack Mountains,18,Exposure Factor Datasets
Anas platyrhynchos,Hatching Success,67%,proportion of tagged females that hatched clutches,,,,Female,Adult,Adirondack Mountains,18,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,88%,survival of tagged females over the breeding period,,,,Female,Adult,Adirondack Mountains,22,Exposure Factor Datasets
Anas platyrhynchos,Duration of Incubation or Gestation,28,,,,,Both Male and Female,Embryo,lower Flathead Valley,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Body Weight - Mean,"1,239",,1181-1314,,3 (SE),Male,Both Adults and Juveniles,Mississippi Alluvial Valley,"1,477",Exposure Factor Datasets
Peromyscus maniculatus,Clutch or Litter Size,4.7,litter size estimated from counts of uterine scars and embryos,3 - 7,,0.7 SE,Female,Adult,"salt marsh, San Pablo and San Francisco Bays",6,Exposure Factor Datasets
Lithobates catesbeianus,Dietary Composition,Insecta (51.8%); Arachnida (11.2%); Amphibia (2.8%); Diploda (1.3%); Gastropoda (1.3%); Crustacea (1.4%);Teleosts (1.1%); Mammalia (0.2%); Oligochaeta (1.3%); Reptilia (0.2%); Pebbles and sand (3.4%); Vegetative material (12.5%); Digested material (11.6%),% occurrence of item; obtained by dividing # of a specific item taken by total # of items; based on stomach contents,,,,Both Male and Female,Both Adults and Juveniles,"ponds, Hanover County",129,Exposure Factor Datasets
Lithobates catesbeianus,Dietary Composition,Insecta (20.6%); Arachnida (4.8%); Amphibia (27.4%); Diploda (0.3%); Gastropoda (1.0%); Crustacea (4.3%);Teleosts (0.6%); Mammalia (5.0%); Oligochaeta (1.3%); Reptilia (6.4%); Pebbles and sand (8.0%); Vegetative material (12.3%); Digested material (7.3%),% weight of an item; obtained by dividing the weight of a specific item by the total weight of all items; obtained from stomach contents,,,,Both Male and Female,Both Adults and Juveniles,"ponds, Hanover County",129,Exposure Factor Datasets
Lithobates catesbeianus,Food Ingestion Rate,0.4,average weight of stomach contents for frogs with an average body weight of 17.5 g,,,,Both Male and Female,Not Reported,"ponds, Hanover County",78,Exposure Factor Datasets
Lithobates catesbeianus,Food Ingestion Rate,2.33,average weight of stomach contents for frogs with an average body weight of 106.3 g,,,,Both Male and Female,Not Reported,"ponds, Hanover County",42,Exposure Factor Datasets
Lithobates catesbeianus,Food Ingestion Rate,4.6,average weight of stomach contents for frogs with an average body weight of  248.7 g,,,,Both Male and Female,Not Reported,"ponds, Hanover County",18,Exposure Factor Datasets
Anas platyrhynchos,Body Weight - Mean,"1,079",,"1,040-1,139",,4 (SE),Female,Both Adults and Juveniles,Mississippi Alluvial Valley,641,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"animal (3.0%), plant (97.0%)",percent composition of esopageal food samples,,,,Both Male and Female,Both Adults and Juveniles,Mississippi Alluvial Valley,"2,118",Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"flora (2.6%), fauna (97.4%)",,,,,Both Male and Female,Juvenile,Bear River Migratory Bird Refuge,94,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"flora (10.5%), fauna (89.5%)",,,,,Both Male and Female,Juvenile,Bear River Migratory Bird Refuge,94,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"flora (25.3%), fauna (74.7%)",,,,,Both Male and Female,Juvenile,Bear River Migratory Bird Refuge,94,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"flora (50.6%), fauna (49.4%)",,,,,Both Male and Female,Juvenile,Bear River Migratory Bird Refuge,94,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"flora (71%), fauna (29%)",,,,,Both Male and Female,Juvenile,Bear River Migratory Bird Refuge,94,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"flora (89.4%), fauna (10.6%)",,,,,Both Male and Female,Juvenile,Bear River Migratory Bird Refuge,94,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"flora (99.1%), fauna (0.92%)",,,,,Both Male and Female,Juvenile,Bear River Migratory Bird Refuge,94,Exposure Factor Datasets
Anas platyrhynchos,Dietary Composition,"flora (99.9%), fauna (0.08%)",,,,,Both Male and Female,Juvenile,Bear River Migratory Bird Refuge,94,Exposure Factor Datasets
Anas platyrhynchos,Growth Rate,0.0692,growth rate estimated from logistic growth curve,,,0.0030 (SE),Both Male and Female,Juvenile,central North Dakota,Not Reported,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.6279,survival estimates for birds banded 1966-1985,,,0.009 (SE),Male,Adult,Northern California,"18,289",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.5664,survival estimates for birds banded 1972-1981,,,0.0263 (SE),Male,Adult,Central California,776,Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.5390,survival estimates for birds banded 1966-1985,,,0.0228 (SE),Male,Juvenile,Northern California,"11,372",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.3948,survival estimates for birds banded 1972-1981,,,0.0458 (SE),Male,Juvenile,Central California,"1,396",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.5447,survival estimates for birds banded 1966-1985,,,0.0128 (SE),Female,Adult,Northern California,"13,704",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.5462,survival estimates for birds banded 1972-1981,,,0.0561 (SE),Female,Adult,Central California,"1,240",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.5626,survival estimates for birds banded 1966-1985,,,0.0445 (SE),Female,Juvenile,Central California,"8,205",Exposure Factor Datasets
Anas platyrhynchos,Survival/ Mortality,0.3948,survival estimates for birds banded 1972-1981,,,0.0458 (SE),Female,Juvenile,Central California,"1,396",Exposure Factor Datasets
Anas platyrhynchos,Growth Rate,222,maximum growth rate based on body weight,,,,Male,Juvenile,,63,Exposure Factor Datasets
Anas platyrhynchos,Growth Rate,195,maximum growth rate based on body weight,,,,Female,Juvenile,,72,Exposure Factor Datasets
Anas platyrhynchos,Food Ingestion Rate,376.2,food intake of 8 week old mallards,,,25.6 (SE),Both Male and Female,Juvenile,,15,Exposure Factor Datasets
Anas platyrhynchos,Metabolic Rate,191,metabolized energy in 8 week old mallards,,,,Both Male and Female,Juvenile,,15,Exposure Factor Datasets
Anas platyrhynchos,Body Weight - Mean,936.1,mean body weight of 8 week old mallards,,,,Both Male and Female,Juvenile,,15,Exposure Factor Datasets
Athene cunicularia,Dietary Composition,"Dipodomys sp (8-18%), Perognathus sp (4-29%), insects (53-75%), crayfish (0-9%), reptiles (0-5%), birds (0-1%)",frequency of occurence in pellets,,,,Both Male and Female,Adult,Coachella Valley,3 burrows,Exposure Factor Datasets
Athene cunicularia,Dietary Composition,"vertebrates (14.3%), invertebrates (85.7%)",percent of diet based on pellet analysis,,,,Both Male and Female,Adult,Malheur county,150 pellets,Exposure Factor Datasets
Athene cunicularia,Population Density,,breeding season density based on roadside censuses,12-13,,,Both Male and Female,Adult,Imperial Valley,Not Reported,Exposure Factor Datasets
Athene cunicularia,Population Density,,fall/winter season density based on roadside censuses,3-4,,,Both Male and Female,Adult,Imperial Valley,Not Reported,Exposure Factor Datasets
Athene cunicularia,Population Density,925,estimate of number of pairs in census area,,,,Both Male and Female,Not Reported,San Francisco Bay and Central Valley areas,198 UTM blocks censused,Exposure Factor Datasets
Athene cunicularia,Fledging or Weaning Rate,50-57%,percent of occupied nests that fledged young,,,,Both Male and Female,Adult,"Gilliam, Morrow, and Umatilla counties",63-76 nests,Exposure Factor Datasets
Athene cunicularia,Dietary Composition,"arthropods (92%), vertebrates (8%)",percent occurrence in diet based on pellet analysis,,,,Both Male and Female,Not Reported,"Gilliam, Morrow, and Umatilla counties","5,559 pellets",Exposure Factor Datasets
Athene cunicularia,Dietary Composition,"vertebrate (86.7%), invertebrate (13.3%)",diet composition by percent biomass in pellets,,,,Both Male and Female,Adult,Columbia Basin,"pellets 5,559",Exposure Factor Datasets
Athene cunicularia,Dietary Composition,"vertebrate (89.9%), invertebrate (10.1%)",diet composition by percent biomass in pellets,,,,Both Male and Female,Adult,Columbia Basin,769 pellets,Exposure Factor Datasets
Athene cunicularia,Clutch or Litter Size,,,8-12,,,Female,Adult,Umatillo and Morrow counties,4 burrows,Exposure Factor Datasets
Athene cunicularia,Hatching Success,,based on number of young observed at burrow,80-91,,,Both Male and Female,Hatchling,Umatillo and Morrow counties,4 burrows,Exposure Factor Datasets
Athene cunicularia,Time of Mating/ Laying,April,,,,,Female,Adult,Umatillo and Morrow counties,4 burrows,Exposure Factor Datasets
Athene cunicularia,Population Density,7.8,based on Christmas bird counts 1954-1986,,,2.3 (SD),Both Male and Female,Both Adults and Juveniles,,Not Reported,Exposure Factor Datasets
,Dietary Composition,"mammal (68%), bird (1%), amphibian (3%), arachnids (4%), insects (25%)",percent biomass from pellet analyses,,,,,,Idaho National Engineering Laboratory Site,421,Exposure Factor Datasets
